iter	Passed	Remaining
0	1	182
1	3	153
2	4	129
3	4	113
4	5	107
5	6	102
6	7	100
7	8	98
8	9	95
9	10	92
10	11	90
11	12	90
12	13	89
13	14	88
14	15	86
15	16	84
16	17	84
17	18	83
18	19	81
19	19	79
20	20	77
21	21	76
22	22	74
23	23	73
24	23	71
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	65
31	29	63
32	30	62
33	31	61
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	42
54	51	41
55	52	40
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	28
69	65	27
70	66	26
71	66	26
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
